Question,Answer
What is Core dna?,"CoreDNA is a pioneering brand new type of digital-experience platform (DXP) that has been carefully engineered from the ground up. It's the best way to tackle eCommerce, marketing and content management all at once.We are a cloud hosted SaaS (software-as-a-service) with an Api-first approach and with natively integrated applications that can be built into the single user interface.Core dna is a digital experience platform that offers all the solutions you need for your ecommerce, marketing, and content management. We offer an extensive set of features and integrations to make your life easier.It's a beautifully engineered solution that makes it easy for marketers and developers to do all of their work in one place.The marketer advantagesStructured content management Create your content once using a structured approach that properly reflects your business. Then distribute everywhere.Full platform control Control every aspect of your website, from content, permissions and design without technical involvement.Live preview With live preview see changes to your website in real time. Manage content within your brand guidelines.Centrally ManagedCentrally manage media assets, let Core dna optimize and deliver to your visitors.Workflow and automationsCentrally store your information, distribute everywhere using our Hooks engine and scheduler.Content versioningView previous versions of all assets, who created, modified them, and see exactly what was changed.GET IN TOUCH TODAYSchedule a one-to-one consultation with your product specialistHere’s what you can expect:Walkthrough: An introduction of the Core dna platformAnalysis: Personalized recommendations based on your  business needs.Case studies: How other businesses have used Core dna to scale more efficiently Request a Demo "
Who are Core dna's users? ,"Core dna‘s users are industry leading and branded manufacturers. We have delivered solutions for a number of brands across a variety of industries, with over 1000 websites in production.Major industry groups include HR & recruitment, promotions, hospitality & tourism, finance, healthcare, community & not for profit, FMCG, and franchises.Our user base includes Swinburne University, Clark Rubber, Randy's World Wide, Seek, Frontier Touring and Uberall."
Software as a Service Explained,"Core dna digital experience platform (DXP) is a Software as a Service platform. Software as a Service (SaaS) is a way of delivering applications over the Internet through a subscription fee model instead of through traditional on-premises, licensed software models of the past.Instead of installing and maintaining software platforms, software-as-a-service is accessed via the Internet, eliminating complex computing infrastructure provisioning and maintenance tasks.SaaS applications are sometimes called web-based software, on-demand software, or hosted software. Whatever the name, SaaS applications run on a SaaS provider’s servers. The provider manages access to the application, including security, availability, and performance.Find more details on Software as a Service here"
Is Core dna open source?,"No, we’re not an open-source platform. Our platform is delivered as a closed sourced SaaS Digital Experience Platform (DXP).Core dna has been fine-tuned and developed over a decade after years of experience in the online environment. The platform is continuously innovated in-house by our large team of dedicated, full-time developers.This allows us to deliver updates to our partners and users instantaneously as they are implemented. Our platform is developed on the LAMP stack (Linux/Apache/MySQL/PHP)."
Are SaaS applications customizable?,"Although SaaS applications such as Core dna DXP are ‘multi-tenanted’, users can easily customize applications to fit their business processes without affecting the common infrastructure.Because there is a separation between that front-end experience layer and the Core dna DXP platform, clients can create their own interconnections using APIs and plugin to third-party systems.Additionally, because of the way SaaS is architected, these customizations are unique to each company or user and are always preserved through upgrades. That means SaaS providers can make upgrades more often, with less customer risk and much lower adoption cost."
Can Core dna be used for intranets? ,"Yes, Core dna can be used for intranets. Intranet functionality can be adapted and tailored to suit the individual user’s needs.What is an intranet CMS? An intranet cms is a content management system that is used to create and manage content on an intranet. An intranet cms provides a user-friendly interface that makes it easy for users to add, edit, and delete content. Additionally, an intranet cms includes features such as version control, workflow, and security that help to ensure that content is accurate and up-to-date.Core dna offers an Intranet & extranet CMS platform that simplifies organizational learning. Collaborate and communicate more efficient, create communications, share ideas, company insights and organizational news that help align your business.You can also manage your HR information, create HR forms, organizational procedures/policies and staff news in one place. Learn more from your staff by leveraging the ideas application to make it easy for employees to provide ideas and feedback for initiatives that can be shared and voted by all.Intranet CMS use cases: - Employee portal - Employee onboarding- Management and executives' portal - Employee collaboration - Students Portal Read this next for a complete view of what is an Intranet CMS and how it can help structure internal relations within a company: Intranet CMS: A Guide to Choosing Intranet SoftwareWe have also created a guide to help you navigate the intranet CMS decision making. You can download it here In this guide, you'll learn: - What is an intranet (and how does it impact the employee experience?) - What is an intranet CMS? - Best use cases for intranet CMS - Key features to look out fo SaaS vs on-premise intranet CMS - Comparing different intranet CMS vendorsGET IN TOUCH TODAYSchedule a one-to-one consultation with your product specialistHere’s what you can expect:Walkthrough: An introduction of the Core dna platformAnalysis: Personalized recommendations based on your  business needs.Case studies: How other businesses have used Core dna to scale more efficiently Request a Demo "
What is Software as a Service?,"Core dna digital experience platform (DXP) is a Software as a Service platform. Software as a Service (SaaS) is a way of delivering applications over the Internet through a subscription fee model instead of through traditional on-premises, licensed software models of the past.Instead of installing and maintaining software platforms, software-as-a-service is accessed via the Internet, eliminating complex computing infrastructure provisioning and maintenance tasks.SaaS applications are sometimes called web-based software, on-demand software, or hosted software. Whatever the name, SaaS applications run on a SaaS provider’s servers. The provider manages access to the application, including security, availability, and performance.There are several key benefits of using SaaS applications: 1. Cost-effective: SaaS can be a more cost-effective option for businesses than traditional software licenses, as you only pay for what you use. There is no need to invest in expensive hardware or software upfront, and you can scale your usage up or down as needed. 2. Flexible: SaaS applications are typically very flexible, and can be accessed from any device with an internet connection. This makes them ideal for businesses with remote or mobile employees. 3. Always up-to-date: As SaaS applications are hosted in the cloud, they are always up-to-date with the latest features and security patches. This takes the hassle out of software updates for businesses, as they are automatically applied by the provider. 4. Increased collaboration: SaaS applications can make it easier for employees to collaborate, as they can be accessed from anywhere and allow for real-time editing and commenting. 5. Improved security: As SaaS applications are hosted in the cloud, they benefit from the increased security that comes with this type of environment. 6. Scalability: SaaS applications can be easily scaled up or down to match the changing needs of a business. This makes them perfect for businesses that are growing or downsizing.GET IN TOUCH TODAYSchedule a one-to-one consultation with your product specialistHere’s what you can expect:Walkthrough: An introduction of the Core dna platformAnalysis: Personalized recommendations based on your  business needs.Case studies: How other businesses have used Core dna to scale more efficiently Request a Demo "
How does Core dna continuously innovate?,"Core dna is built as a continuously evolving solution, pioneering the new paradigm of design, build, and evolve when it comes to websites. We invest heavily in research and development in order to regularly offer new products and upgrades. Our experienced staff have specialized skill sets and continuously provide invaluable knowledge and innovation, which is passed on to all of our users on an ongoing basis."
What is multi-tenant architecture?,"Core dna is built as a multi-tenant platform. All users of Core dna login from a single login screen. A multi-tenant architecture such as Core dna means that all users and applications share a single, common infrastructure and code base that is centrally maintained.Because Core dna clients are all on the same infrastructure and code base, Core dna can innovate more quickly and save the valuable development time previously spent on maintaining numerous versions of outdated code."
Where is Core dna based? ,"Core dna, founded in Melbourne, Australia, also has offices in Boston, USA, and Berlin, Germany."
 Can SaaS improve my company's productivity?,"SaaS application such as Core dna provide access to data from any networked device while making it easier to manage privileges, monitor data use and ensure everyone sees the same information at the same time. You can work with a team in real time with out conflicts. With the SaaS model, you can customize with point-and-click ease, making the weeks or months it takes to update traditional business software seem hopelessly old-fashioned.Different from the traditional model, Core dna is a fully managed solution, meaning the application comes fully ready to use and a new website can be up in minutes. This reduces the time spent in installation and configuration and can reduce the issues that can get in the way of the software deployment."
What are the high-level SaaS Benefits?,"Software as a Service provides companies numerous benefits. At a high level, SaaS provides companies:Pre-built web applications that are completely managed; from the software, hardware, and support.Infrastructure that is enterprise, high availability and with support around the clock.Continuous updates & innovation so you never have to re-platform again.Delivered for a fixed fee per month."
How does Core dna provide me with flexibility?,Core dna provides users with flexibility by allowing the online solutions to be customized and be relevant to each business' unique requirements.Enhancements and new features are launched quickly to drive business growth and meet new opportunities.
Why do I need a CMS?,"For many organizations the need for a Content Management System (CMS) boils down to two main factors;Internal pressure: the desire to easily create and manage content in a more efficient manner and an awareness that solutions are available (at a price that is not preventative to using them)Legislation: As across the globe governments are tackling the accessibility of information and forcing organizations to comply.However, it is important to recognize that CMS solutions themselves have also evolved to the point where they are now:Genuinely easy to useEasier to deploy with pre-built, modular applicationsStable products that are constantly developed by dedicated developers Less costly (which in turn improves the return on investment)Standards enforcing - so that the legislative requirements can be met using the toolsStrategically significant to organizations operations."
Can Core dna be used for extranets?,"Yes, just as Core dna works for intranets, it works for extranets.An extranet allows external users (i.e those not within a given company) the ability to access content by entering a username and password. This is achieved by Core dna's secure login application."
What are the characteristics of a SaaS application?,"In SaaS, the user does not pay for the software itself. Instead, it works like a rental. They have the authorization to use it for a period of time and pay for the software that they are using. A great way to think about SaaS is like going to a public park. You go to the park to enjoy a picnic, play with your dog, have a pickup Frisbee game, etc. You have friends that also use the park. You might use it at the same time, or different times. You get to enjoy the park when you want to and as often as you would like, without having to mow the lawn, water the flowers and maintain the jungle gym. Instead, you pay a fixed amount of taxes per month and for that, the park is available to you anytime. The maintenance is taken care of for you, and local police patrol the area, keeping you and your family safe. A “park” meets the key characteristics of the SaaS model."
How can a SaaS application save me money?,"Core dna is a fully managed SaaS platform, meaning that the network, platform, security, hosting and software are all taken care of, lowering the burden on your IT team and reducing your IT costs. Reduce your labor costs with pre-built applications and removing backend development, saving you money when you build your site, and in ongoing maintenance.SaaS platforms are delivered for a fixed monthly subscription cost which allows you to pay for what you need and use. Move to a consumption based model, like Core dna, and away from large capital expenditures."
What do you mean when you say the platform of tools you provide?,"The ""platform of tools"" refers to the different product applications available within Core dna. The Core dna platform includes a range of applications that act as ""tools"" to make your website work for you and your business. "
How does Core dna enhance usability?,"Core dna software enhances usability in a number of ways.Reducing page loading times through a streamlined architecture. Supported with the use of efficient caching and a global network of CDNsAllowing Administrators to create components that are well structured and produce consistent  content  across your siteUsing optional templating that can make your site responsive across mobile and desktop devices. Use a familiar navigation layout across the whole site. Making it easy for a visitor to find what they need.Use consistent headings and subheadings with your content. Through structured content, all content elements can be defined once and managed from one spot. Making the appearance of the content consistent.Modern image formats and formatting. Core dna provides administrators tools that manage images and convert them to modern formats for speed and efficiency. The images are automatically process to the right height and width, making them fast and responsive."
What infrastructure does Core dna use?,"Core dna runs on cloud infrastructure. Cloud infrastructure provides relief from the dependency on physical hardware. It also provides a solution for scalability.In simple terms, cloud computing is a farm of servers that all contribute to a pool of resources. This is separate from the traditional format of one server sitting on one computer."
Do I need technical knowledge to use Core dna?,"No, technical expertise is not needed in order to use Core dna. Core dna is built for businesses and the people that run them.You do not need a background in IT or knowledge of technical jargon, or programming language. As long as you have basic computer skills you will be able to use our straightforward and intuitive platform."
Is Core dna privately owned?,"Yes, Core dna is privately owned and operated from our offices in Melbourne, Australia, and Boston, USA."
